Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,5.27,8.75,0.0,top
C10,10p,C_0402_1005Metric,2.75,7.4,0.0,top
C11,10p,C_0402_1005Metric,0.23,7.4,180.0,top
C12,4.7u,C_0805_2012Metric,-11.25,-21.4,180.0,top
C13,100n,C_0402_1005Metric,-2.9,-20.0,0.0,top
C14,4.7u,C_0805_2012Metric,-0.5,-22.5,180.0,top
C15,100n,C_0402_1005Metric,0.1,-20.0,180.0,top
C16,100n,C_0402_1005Metric,0.1,-21.0,180.0,top
C17,4.7u,C_0805_2012Metric,2.25,-21.75,-90.0,top
C18,100n,C_0402_1005Metric,6.0,-25.0,0.0,top
C19,4.7u,C_0805_2012Metric,-9.25,-34.5,90.0,top
C2,4.7u,C_0805_2012Metric,-8.0,-1.2,90.0,top
C20,4.7u,C_0805_2012Metric,24.5,-17.0,90.0,top
C21,4.7u,C_0805_2012Metric,21.5,-3.0,180.0,top
C22,100n,C_0402_1005Metric,24.0,-0.25,-90.0,top
C23,4.7u,C_0805_2012Metric,22.75,4.79,180.0,top
C24,4.7u,C_0805_2012Metric,22.75,7.04,180.0,top
C25,10p,C_0402_1005Metric,15.25,2.25,-90.0,top
C26,1u,C_0402_1005Metric,14.5,-9.52,-90.0,top
C3,100n,C_0402_1005Metric,-2.0,7.4,0.0,top
C4,100n,C_0402_1005Metric,-7.5,-4.0,90.0,top
C5,100n,C_0402_1005Metric,3.75,-7.5,180.0,top
C6,100n,C_0402_1005Metric,7.5,3.75,-90.0,top
C7,100n,C_0402_1005Metric,-7.5,3.0,90.0,top
C8,100n,C_0402_1005Metric,5.27,6.75,0.0,top
C9,4.7u,C_0805_2012Metric,-9.75,-4.5,180.0,top
D1,RED,LED_0805_2012Metric,-13.75,-0.75,90.0,top
D2,RED,LED_0805_2012Metric,-13.75,3.75,-90.0,top
D3,YEL,LED_0805_2012Metric,16.75,-12.75,180.0,top
